md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00072864,5.8119e-06,0.0818,0.00072585,8.868,0.010319,0.032541,7.6158e-05,2.8985,0.006723
2,0.00076567,5.9564e-06,0.088632,0.00076529,8.8569,0.010045,0.032558,7.4072e-05,2.9002,0.0065525
3,0.00074251,5.8442e-06,0.085215,0.00074447,8.8882,0.010084,0.032717,7.4517e-05,2.9128,0.0065908
4,0.00068047,5.5812e-06,0.075365,0.00069212,8.931,0.010588,0.032907,7.8341e-05,2.93,0.0069094
5,0.00072404,5.8209e-06,0.081292,0.0007312,8.8636,0.010357,0.032248,7.6101e-05,2.8704,0.0067162
6,0.00077447,6.0569e-06,0.08897,0.00077438,8.8269,0.010103,0.031951,7.3919e-05,2.8495,0.0065332
7,0.00074105,5.8979e-06,0.08319,0.00073892,8.8575,0.010277,0.032182,7.5517e-05,2.8658,0.0066717
8,0.00073964,5.8863e-06,0.083062,0.00073887,8.8482,0.010296,0.032252,7.555e-05,2.8727,0.0066705
