md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.19648,0.0068085,25.714,0.97609,8.5321,0.047694,0.029484,0.00032579,0.0098665,0.0036732
2,0.20778,0.0068674,25.81,0.92529,8.5278,0.043913,0.029454,0.0003021,0.010107,0.0037718
3,0.18801,0.0063964,23.93,0.89399,8.5655,0.045676,0.029694,0.00031368,0.0094648,0.0033241
4,0.2057,0.0067799,26.405,0.94449,8.5316,0.043597,0.029291,0.00029633,0.01726,0.0035913
5,0.21835,0.0073306,28.345,1.0412,8.4772,0.045179,0.028874,0.00030773,0.013838,0.0035103
6,0.20018,0.0067311,26.181,0.95793,8.5665,0.044956,0.029368,0.00030726,0.012095,0.0027988
7,0.22528,0.0076417,29.097,1.0789,8.3737,0.044942,0.02813,0.00030409,0.013256,0.0031811
8,0.19866,0.0066133,26.128,0.97657,8.5669,0.043661,0.029464,0.00029847,0.011137,0.0030591
