avg,avg_err,chi2,dof,rchi2
rates,1.1678,0.0049769,63.331,7,9.0473
yields,150.52,0.67838,62.547,7,8.9353
theta,7.5729,0.0036665,7.5547,7,1.0792
q2,0.023656,2.4267e-05,41.63,7,5.9472
asym,2.0829,0.0019541,43.515,7,6.2164
