avg,avg_err,chi2,dof,rchi2
rates,0.011622,6.2448e-05,54.296,7,7.7566
yields,1.4902,0.008482,47.443,7,6.7776
theta,7.2937,0.0038454,6.3195,7,0.90279
q2,0.021885,2.5169e-05,28.118,7,4.0168
asym,1.8574,0.0012524,36.637,7,5.2338
