avg,avg_err,chi2,dof,rchi2
rates,0.040726,0.00022876,41.298,7,5.8997
yields,5.189,0.031313,27.832,7,3.976
theta,7.2893,0.0040739,12.085,7,1.7264
q2,0.021839,2.6494e-05,23.625,7,3.375
asym,1.8139,0.0012645,46.483,7,6.6404
