md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.2072,0.0070389,25.542,0.94299,8.5107,0.045042,0.029189,0.00030905,0.014973,0.0035126
2,0.20559,0.0069517,26.326,0.97012,8.5263,0.044775,0.029355,0.00030546,0.0091694,0.0033188
3,0.20649,0.0067097,25.232,0.90894,8.6236,0.043226,0.030035,0.0002997,0.010917,0.0030781
4,0.20028,0.006725,25.008,0.9171,8.5571,0.04393,0.02944,0.00030124,0.0077473,0.0029645
5,0.20841,0.0070605,25.26,0.9071,8.5256,0.046056,0.029096,0.0003115,0.013526,0.0035455
6,0.21283,0.0071767,26.814,0.99581,8.4767,0.044172,0.028679,0.00030061,0.010381,0.0030927
7,0.21942,0.0073357,27.089,0.96865,8.4797,0.045337,0.028736,0.00031098,0.0089659,0.0033205
8,0.20367,0.0067583,25.546,0.9297,8.542,0.043259,0.029214,0.00029455,0.0028792,0.0031934
