avg,avg_err,chi2,dof,rchi2
rates,0.0011106,6.3402e-06,137.95,7,19.707
yields,0.11907,0.00074341,157.34,7,22.477
theta,7.5103,0.0040352,28.632,7,4.0903
q2,0.023094,2.6533e-05,62.814,7,8.9735
asym,1.993,0.001421,90.767,7,12.967
