avg,avg_err,chi2,dof,rchi2
rates,0.00022712,1.159e-06,68.274,7,9.7535
yields,0.028016,0.0001495,68.5,7,9.7857
theta,7.3258,0.003283,10.128,7,1.4468
q2,0.021927,2.0466e-05,69.537,7,9.9338
asym,2.1602,0.0019752,58.61,7,8.3729
