avg,avg_err,chi2,dof,rchi2
rates,0.00029846,1.2989e-06,57.62,7,8.2314
yields,0.038198,0.00017498,65.54,7,9.3629
theta,7.5602,0.0038484,12.442,7,1.7774
q2,0.023527,2.5527e-05,47.088,7,6.7269
asym,2.3562,0.0025345,48.725,7,6.9608
