avg,avg_err,chi2,dof,rchi2
rates,0.0096763,3.5878e-05,32.814,7,4.6877
yields,1.2442,0.0049195,35.61,7,5.0871
theta,7.777,0.003575,1.598,7,0.22829
q2,0.025014,2.4211e-05,32.967,7,4.7096
asym,-2.231,0.0021524,34.271,7,4.8958
