md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0024191,1.9429e-05,0.27559,0.0024667,8.7206,0.0099878,0.031367,7.2625e-05,2.7929,0.0064271
2,0.0024991,1.9718e-05,0.29235,0.002556,8.7206,0.0098931,0.031506,7.2076e-05,2.806,0.0063813
3,0.0024017,1.9215e-05,0.27898,0.0024736,8.7642,0.0099001,0.031731,7.2383e-05,2.8263,0.0064097
4,0.0022736,1.8759e-05,0.25238,0.0023209,8.7599,0.010188,0.031553,7.4205e-05,2.8091,0.0065498
5,0.0023603,1.928e-05,0.26729,0.0024376,8.7218,0.010117,0.031144,7.3262e-05,2.7739,0.0064881
6,0.0025491,2.0087e-05,0.29573,0.0025929,8.716,0.0097922,0.031034,7.087e-05,2.7661,0.0062717
7,0.0024555,1.9716e-05,0.2808,0.0025208,8.7116,0.010042,0.031052,7.2899e-05,2.765,0.0064502
8,0.0024656,1.9715e-05,0.28129,0.0025162,8.7069,0.0099593,0.031154,7.2148e-05,2.776,0.0063739
