md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0093085,9.824e-05,1.2257,0.013841,7.7948,0.010205,0.025258,6.9357e-05,-2.2524,0.0061562
2,0.0092698,9.8066e-05,1.2201,0.013756,7.7807,0.010202,0.025241,6.9355e-05,-2.2508,0.0061583
3,0.0092632,9.839e-05,1.2193,0.01384,7.7783,0.010263,0.025196,6.977e-05,-2.2473,0.0061962
4,0.0094091,9.9605e-05,1.2375,0.014045,7.7872,0.010263,0.025127,6.9625e-05,-2.2399,0.0061909
5,0.0094284,0.00010003,1.2442,0.014113,7.8007,0.010298,0.025091,6.9812e-05,-2.2375,0.0061983
6,0.0097084,0.00010315,1.2668,0.01437,7.7707,0.010274,0.024824,6.9405e-05,-2.2146,0.0061606
7,0.0095339,0.00010235,1.2575,0.014406,7.7773,0.010565,0.024903,7.126e-05,-2.2205,0.0063258
8,0.0094479,0.00010043,1.2534,0.014304,7.7807,0.010299,0.025037,6.9781e-05,-2.2324,0.0061865
