avg,avg_err,chi2,dof,rchi2
rates,0.20394,0.0024279,20.39,7,2.9128
yields,26.293,0.3428,18.305,7,2.6151
theta,8.5178,0.015875,14.853,7,2.1219
q2,0.029215,0.00010839,18.603,7,2.6576
asym,0.012111,0.0011729,3.8176,7,0.54538
