avg,avg_err,chi2,dof,rchi2
rates,0.0016697,8.5449e-06,26.486,7,3.7838
yields,0.2146,0.0011592,20.284,7,2.8977
theta,7.3282,0.0034783,5.5158,7,0.78797
q2,0.022076,2.2333e-05,19.285,7,2.755
asym,1.9231,0.0012752,24.856,7,3.5508
