avg,avg_err,chi2,dof,rchi2
rates,1.1645,0.0049329,80.377,7,11.482
yields,151.44,0.68224,72.415,7,10.345
theta,7.578,0.0036306,5.7926,7,0.82751
q2,0.023692,2.4065e-05,43.989,7,6.2841
asym,2.0848,0.0019496,50.463,7,7.209
