md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0030351,2.435e-05,0.4093,0.0035722,8.4194,0.010218,0.029533,7.2961e-05,2.635,0.0064779
2,0.0030183,2.4322e-05,0.40077,0.0034921,8.4014,0.010285,0.029484,7.3427e-05,2.6293,0.0065145
3,0.0029672,2.4066e-05,0.39772,0.003486,8.4216,0.010446,0.029604,7.4622e-05,2.6399,0.0066296
4,0.0030321,2.4529e-05,0.40253,0.0035363,8.4012,0.010391,0.029322,7.3935e-05,2.6149,0.0065574
5,0.0030729,2.4735e-05,0.41367,0.0036028,8.411,0.010274,0.029251,7.2999e-05,2.6082,0.0064868
6,0.0030852,2.4922e-05,0.41117,0.0035981,8.3963,0.010329,0.029071,7.3162e-05,2.5925,0.0064859
7,0.0030753,2.4848e-05,0.41214,0.0036161,8.4026,0.010388,0.029148,7.3539e-05,2.5998,0.0065368
8,0.0030639,2.4655e-05,0.40846,0.0035749,8.4054,0.010266,0.029286,7.3051e-05,2.6112,0.00649
