avg,avg_err,chi2,dof,rchi2
rates,0.01152,6.1148e-05,59.782,7,8.5403
yields,1.469,0.0082794,47.948,7,6.8498
theta,7.3002,0.0037864,11.927,7,1.7038
q2,0.021928,2.4837e-05,51.654,7,7.3791
asym,1.8588,0.0012556,83.85,7,11.979
