md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0022729,2.0127e-05,0.24794,0.0024445,8.6276,0.010865,0.030765,7.9213e-05,2.7368,0.0069837
2,0.002438,2.0831e-05,0.27323,0.0025845,8.6166,0.010484,0.030822,7.6208e-05,2.7447,0.0067127
3,0.0023192,2.027e-05,0.26112,0.0025281,8.6304,0.010688,0.030872,7.8039e-05,2.7449,0.0068962
4,0.0021434,1.9431e-05,0.23271,0.0023727,8.6692,0.011103,0.030959,8.1121e-05,2.7537,0.0071296
5,0.0022514,2.0233e-05,0.24417,0.0024535,8.6161,0.011075,0.030479,8.0195e-05,2.7111,0.0070729
6,0.0024498,2.1265e-05,0.27452,0.0026555,8.5839,0.0106,0.030195,7.6685e-05,2.688,0.00676
7,0.0024083,2.1092e-05,0.26565,0.0026086,8.5733,0.010612,0.030121,7.6646e-05,2.6806,0.0067562
8,0.0024416,2.1171e-05,0.26791,0.0025948,8.5736,0.010579,0.030259,7.6546e-05,2.6974,0.0067411
