md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0013137,1.0829e-05,0.17499,0.0015656,8.3497,0.010275,0.02895,7.2725e-05,2.5817,0.0064618
2,0.0013202,1.0841e-05,0.17577,0.0015594,8.3454,0.010259,0.029002,7.264e-05,2.5867,0.0064463
3,0.0013216,1.0856e-05,0.17596,0.0015657,8.344,0.010221,0.02896,7.2474e-05,2.5829,0.006436
4,0.0013329,1.0976e-05,0.17534,0.0015636,8.3347,0.01028,0.028757,7.2566e-05,2.5648,0.0064433
5,0.001347,1.1052e-05,0.1792,0.0015915,8.3474,0.010191,0.028689,7.1754e-05,2.5586,0.0063779
6,0.0013627,1.1205e-05,0.18047,0.0016125,8.326,0.010261,0.028481,7.2223e-05,2.5407,0.0064055
7,0.0013445,1.1123e-05,0.17818,0.0015989,8.3204,0.010285,0.028482,7.2314e-05,2.5403,0.006419
8,0.0013306,1.0984e-05,0.17585,0.0015726,8.3379,0.010325,0.028717,7.288e-05,2.5621,0.0064591
