md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.14108,0.0034815,16.624,0.47002,8.4578,0.032507,0.02824,0.00021435,0.0096775,0.0020883
2,0.13749,0.0034447,16.181,0.45865,8.4441,0.033899,0.028267,0.00022472,0.0073476,0.0023812
3,0.13819,0.0034189,16.47,0.46053,8.4754,0.032614,0.028401,0.00021652,0.011125,0.0023942
4,0.14071,0.0034723,16.535,0.46192,8.4321,0.032811,0.027959,0.00021478,0.0084732,0.0022592
5,0.14341,0.0035207,17.196,0.47332,8.4707,0.033095,0.028156,0.00021851,0.01118,0.0021386
6,0.14014,0.0034888,16.845,0.47296,8.4806,0.033583,0.028095,0.00022104,0.0068939,0.0021788
7,0.14614,0.0036182,17.41,0.48559,8.4336,0.032988,0.027835,0.00021594,0.011105,0.00235
8,0.13968,0.0035355,16.491,0.47778,8.409,0.033781,0.027801,0.0002223,0.010385,0.0021445
