avg,avg_err,chi2,dof,rchi2
rates,0.68724,0.0034214,209.42,7,29.917
yields,72.15,0.40213,208.33,7,29.761
theta,7.8358,0.0044167,26.034,7,3.7191
q2,0.025182,3.0118e-05,61.559,7,8.7942
asym,2.2201,0.0022909,56.772,7,8.1102
