avg,avg_err,chi2,dof,rchi2
rates,0.0095289,3.5567e-05,44.314,7,6.3306
yields,1.248,0.0049761,52.435,7,7.4907
theta,7.7826,0.0036103,6.293,7,0.899
q2,0.025057,2.4456e-05,30.085,7,4.2979
asym,-2.2351,0.0021685,28.319,7,4.0456
