avg,avg_err,chi2,dof,rchi2
rates,0.0015865,8.0827e-06,103.06,7,14.723
yields,0.18738,0.0010169,115.04,7,16.434
theta,7.3668,0.0034354,12.014,7,1.7163
q2,0.022264,2.2171e-05,52.932,7,7.5617
asym,1.9381,0.0012633,78.264,7,11.181
