avg,avg_err,chi2,dof,rchi2
rates,0.0095934,3.5772e-05,30.91,7,4.4157
yields,1.2623,0.0050309,34.489,7,4.927
theta,7.7787,0.003612,5.8548,7,0.8364
q2,0.025038,2.4447e-05,46.092,7,6.5846
asym,-2.2334,0.0021682,46.308,7,6.6155
