avg,avg_err,chi2,dof,rchi2
rates,0.040495,0.00022076,56.593,7,8.0846
yields,5.0925,0.029141,58.307,7,8.3295
theta,7.2938,0.0039175,13.83,7,1.9757
q2,0.021888,2.56e-05,44.238,7,6.3197
asym,1.8156,0.001221,46.275,7,6.6107
