avg,avg_err,chi2,dof,rchi2
rates,0.12351,0.0011774,14.498,7,2.0712
yields,14.345,0.15644,15.79,7,2.2558
theta,8.4771,0.012767,11.492,7,1.6417
q2,0.028455,8.4608e-05,8.8132,7,1.259
asym,0.01098,0.00089099,8.0669,7,1.1524
