md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.010961,0.00016631,1.4106,0.022751,7.306,0.010937,0.022076,7.2169e-05,1.8662,0.0036266
2,0.010792,0.00016194,1.3563,0.021673,7.3168,0.010748,0.022206,7.1069e-05,1.8748,0.0035746
3,0.011019,0.00016709,1.4095,0.02272,7.2981,0.010945,0.022081,7.2092e-05,1.8681,0.0035375
4,0.011199,0.00016937,1.4291,0.022952,7.3084,0.010835,0.022009,7.1195e-05,1.8638,0.003594
5,0.011846,0.00017831,1.5084,0.024242,7.288,0.010674,0.021758,6.9893e-05,1.8475,0.0035495
6,0.012062,0.00022388,1.5524,0.031756,7.269,0.014284,0.021629,8.967e-05,1.8487,0.0035222
7,0.011987,0.00017872,1.5374,0.024389,7.2967,0.010538,0.021785,6.9016e-05,1.8475,0.0035101
8,0.01176,0.00017705,1.493,0.023903,7.2822,0.010639,0.021793,6.9834e-05,1.853,0.0034482
