md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00089623,6.5948e-06,0.1195,0.00096577,8.7091,0.0099686,0.031572,7.2289e-05,2.8162,0.0064157
2,0.00088834,6.548e-06,0.1185,0.0009551,8.7192,0.0099875,0.031735,7.2554e-05,2.8303,0.0064281
3,0.00091532,6.6481e-06,0.12201,0.00097316,8.7234,0.0098418,0.031727,7.1419e-05,2.8303,0.0063431
4,0.00090214,6.6323e-06,0.1187,0.00095862,8.7026,0.0099354,0.031433,7.1825e-05,2.8051,0.0063766
5,0.00091543,6.6998e-06,0.12151,0.00097489,8.7003,0.0098514,0.031262,7.1132e-05,2.7876,0.0063173
6,0.00091728,6.7175e-06,0.12188,0.00097989,8.7033,0.0099318,0.03122,7.152e-05,2.7846,0.0063444
7,0.000917,6.7077e-06,0.12207,0.00098077,8.7073,0.0099165,0.031281,7.1584e-05,2.7892,0.0063542
8,0.00090225,6.634e-06,0.12009,0.00096701,8.712,0.0099789,0.031442,7.2178e-05,2.8047,0.0064072
