avg,avg_err,chi2,dof,rchi2
rates,0.00069533,3.8777e-06,91.271,7,13.039
yields,0.077199,0.00046858,92.329,7,13.19
theta,7.442,0.0039332,12.398,7,1.7711
q2,0.022701,2.5803e-05,52.342,7,7.4775
asym,1.9381,0.001334,84.906,7,12.129
