avg,avg_err,chi2,dof,rchi2
rates,0.0025874,7.8988e-06,6.1748,7,0.88211
yields,0.34265,0.0011271,8.328,7,1.1897
theta,8.2606,0.0037714,7.5889,7,1.0841
q2,0.028264,2.6521e-05,33.662,7,4.8088
asym,2.5203,0.0023527,32.621,7,4.6601
