avg,avg_err,chi2,dof,rchi2
rates,0.00022617,1.1709e-06,58.231,7,8.3187
yields,0.028345,0.00015108,77.393,7,11.056
theta,7.3297,0.0033011,4.359,7,0.62271
q2,0.02193,2.092e-05,46.813,7,6.6876
asym,2.1636,0.0019605,49.723,7,7.1033
