avg,avg_err,chi2,dof,rchi2
rates,0.015104,4.207e-05,16.151,7,2.3073
yields,2.0062,0.0060963,14.876,7,2.1252
theta,8.4417,0.0035001,3.4259,7,0.48941
q2,0.029529,2.4896e-05,43.746,7,6.2494
asym,2.6342,0.0022104,44.718,7,6.3883
