md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0065972,5.3785e-05,0.87798,0.0077981,8.3565,0.010008,0.029083,7.0922e-05,2.5943,0.0062918
2,0.0065125,5.3179e-05,0.86881,0.0077022,8.367,0.0099644,0.029237,7.0811e-05,2.608,0.0062811
3,0.0065725,5.3563e-05,0.88356,0.0078115,8.3621,0.010038,0.029182,7.1252e-05,2.6015,0.0063346
4,0.0065813,5.3709e-05,0.87197,0.0077702,8.3686,0.0099687,0.029066,7.0646e-05,2.5925,0.0062719
5,0.0067811,5.4776e-05,0.90827,0.0079757,8.3658,0.0098838,0.028921,6.9914e-05,2.5793,0.0062054
6,0.0068262,5.5225e-05,0.90815,0.0080059,8.3527,0.0099122,0.028762,6.9906e-05,2.5649,0.0062011
7,0.0067733,5.4821e-05,0.90559,0.0079921,8.3658,0.0099228,0.028878,7.0076e-05,2.5747,0.0062209
8,0.0067326,5.4698e-05,0.8974,0.0079388,8.3434,0.00997,0.02885,7.0581e-05,2.5741,0.0062677
