md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.031989,0.00038456,3.8274,0.048555,7.6452,0.010482,0.024195,6.9914e-05,2.0536,0.0058714
2,0.032224,0.00037701,3.9297,0.048825,7.6547,0.010052,0.024315,6.7537e-05,2.0596,0.0057727
3,0.032275,0.00038092,3.9044,0.048471,7.6537,0.010199,0.024277,6.8399e-05,2.0582,0.0057766
4,0.031458,0.00037644,3.728,0.047345,7.6671,0.010352,0.024244,6.9427e-05,2.0535,0.0059436
5,0.03439,0.00040665,4.1192,0.051597,7.6167,0.010146,0.023806,6.7568e-05,2.0147,0.0057829
6,0.035185,0.00041358,4.303,0.053586,7.6284,0.010183,0.023805,6.7856e-05,2.017,0.0057705
7,0.033961,0.00040884,4.1058,0.053297,7.6304,0.010612,0.023851,7.0386e-05,2.0247,0.0059092
8,0.033371,0.0003981,4.0755,0.051293,7.6262,0.010263,0.023938,6.8315e-05,2.0301,0.0057837
