avg,avg_err,chi2,dof,rchi2
rates,0.025028,0.00011214,181.39,7,25.913
yields,2.7389,0.013459,187.17,7,26.739
theta,7.7962,0.0038893,57.071,7,8.153
q2,0.024975,2.6394e-05,106.7,7,15.243
asym,2.1192,0.0022163,100.45,7,14.35
