avg,avg_err,chi2,dof,rchi2
rates,0.020741,0.0001354,132.4,7,18.914
yields,2.1503,0.015768,135.63,7,19.376
theta,7.5418,0.0051983,8.1467,7,1.1638
q2,0.023278,3.5277e-05,28.373,7,4.0532
asym,1.8945,0.0016051,45.089,7,6.4412
