avg,avg_err,chi2,dof,rchi2
rates,0.00028931,1.274e-06,55.3,7,7.9001
yields,0.037382,0.0001739,58.299,7,8.3284
theta,7.5671,0.0039044,7.0215,7,1.0031
q2,0.023609,2.5996e-05,46.528,7,6.6469
asym,2.3642,0.0025725,42.571,7,6.0816
