avg,avg_err,chi2,dof,rchi2
rates,0.0075366,4.4483e-05,162.08,7,23.155
yields,0.79962,0.0051242,154.16,7,22.023
theta,7.4867,0.0044537,22.807,7,3.2581
q2,0.022962,3.0001e-05,60.472,7,8.6388
asym,1.9241,0.0013983,91.731,7,13.104
