avg,avg_err,chi2,dof,rchi2
rates,0.0096236,3.5808e-05,41.4,7,5.9142
yields,1.2307,0.0048734,44.786,7,6.3979
theta,7.7805,0.0035946,10.576,7,1.5108
q2,0.025037,2.431e-05,57.779,7,8.2542
asym,-2.2343,0.0021483,47.174,7,6.7392
