avg,avg_err,chi2,dof,rchi2
rates,0.034917,0.0001463,27.831,7,3.9758
yields,4.5236,0.020108,23.552,7,3.3646
theta,7.5905,0.0036583,7.6207,7,1.0887
q2,0.023777,2.434e-05,29.271,7,4.1815
asym,2.0129,0.0020809,32.82,7,4.6886
