md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0013278,1.6182e-05,0.17467,0.0022602,7.5414,0.010187,0.023552,6.7282e-05,1.9915,0.0056371
2,0.0012902,1.5635e-05,0.16776,0.0021601,7.5628,0.010124,0.023762,6.7104e-05,2.0075,0.0056951
3,0.0012969,1.5728e-05,0.1683,0.0021659,7.5533,0.010075,0.023657,6.6985e-05,1.9987,0.0056752
4,0.0013774,1.6625e-05,0.17713,0.0022742,7.5274,0.010032,0.023386,6.6092e-05,1.9759,0.0056196
5,0.0013599,1.6537e-05,0.1761,0.0022731,7.5486,0.01015,0.023382,6.6938e-05,1.9759,0.0056804
6,0.001415,1.7052e-05,0.18236,0.0023597,7.5416,0.010069,0.023277,6.625e-05,1.9663,0.0056217
7,0.0013907,1.6818e-05,0.18123,0.0023225,7.544,0.010101,0.023326,6.6507e-05,1.9704,0.005661
8,0.0013576,1.6864e-05,0.17535,0.0023702,7.5352,0.010573,0.023392,6.9344e-05,1.9796,0.0057194
