md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.19267,0.0065498,24.506,0.89165,8.5666,0.044707,0.029622,0.00030631,0.0053763,0.0026758
2,0.20361,0.0067831,25.609,0.93763,8.5198,0.043819,0.029401,0.00030003,0.01478,0.0032699
3,0.19536,0.0065764,25.574,0.967,8.5545,0.044172,0.029588,0.00030336,0.010051,0.0034677
4,0.19912,0.0066838,25.195,0.92561,8.5736,0.044447,0.029613,0.00030551,0.0036598,0.0030032
5,0.21534,0.00722,27.545,0.99706,8.5088,0.044924,0.029075,0.00030607,0.014729,0.0036875
6,0.20537,0.0070598,26.246,0.98934,8.472,0.046581,0.028744,0.00031658,0.013034,0.0037561
7,0.20007,0.0066992,25.293,0.92381,8.5472,0.044316,0.029236,0.00030274,0.0063928,0.0033303
8,0.18681,0.0064417,24.321,0.91229,8.5996,0.046176,0.029767,0.0003155,0.008913,0.0035107
