md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0012978,1.5988e-05,0.16867,0.002196,7.5527,0.010428,0.023632,6.8895e-05,1.9961,0.0058373
2,0.0012888,1.5719e-05,0.1672,0.0021698,7.5491,0.010211,0.023678,6.7695e-05,2.0013,0.0057132
3,0.0012825,1.5604e-05,0.16711,0.0021688,7.5637,0.010138,0.023736,6.7226e-05,2.0062,0.0056806
4,0.0013127,1.6048e-05,0.17087,0.0022111,7.5587,0.010302,0.023599,6.8007e-05,1.9932,0.0057827
5,0.0013701,1.6731e-05,0.17814,0.0023071,7.5512,0.010267,0.023415,6.7405e-05,1.9793,0.0056451
6,0.0013773,1.6575e-05,0.17885,0.0022982,7.5658,0.010039,0.023427,6.625e-05,1.9793,0.0056273
7,0.0013731,1.6753e-05,0.17783,0.002296,7.5509,0.010286,0.023374,6.7598e-05,1.9759,0.0057179
8,0.0013503,1.6439e-05,0.17538,0.0022603,7.55,0.010224,0.023483,6.7325e-05,1.9861,0.0056753
