avg,avg_err,chi2,dof,rchi2
rates,0.00029654,1.3235e-06,45.804,7,6.5434
yields,0.038106,0.00017748,44.342,7,6.3346
theta,7.563,0.0039699,5.1965,7,0.74235
q2,0.02353,2.6412e-05,26.584,7,3.7978
asym,2.36,0.0025459,36.956,7,5.2794
