avg,avg_err,chi2,dof,rchi2
rates,0.0044555,3.6337e-05,13.03,7,1.8614
yields,0.11985,0.0013545,15.084,7,2.1549
theta,9.3981,0.012481,7.4521,7,1.0646
q2,0.029188,7.7447e-05,4.2376,7,0.60537
asym,-0.36199,0.0011741,3.1358,7,0.44798
