avg,avg_err,chi2,dof,rchi2
rates,0.00022716,1.153e-06,37.518,7,5.3598
yields,0.028303,0.0001521,41.999,7,5.9999
theta,7.3216,0.0032737,8.4747,7,1.2107
q2,0.021927,2.0307e-05,29.717,7,4.2454
asym,2.1594,0.0019885,27.022,7,3.8603
