avg,avg_err,chi2,dof,rchi2
rates,0.0046879,3.8687e-05,4.728,7,0.67542
yields,0.12403,0.001322,7.8536,7,1.1219
theta,9.4167,0.012534,3.721,7,0.53157
q2,0.028994,7.8735e-05,11.539,7,1.6484
asym,-0.36412,0.0011688,6.1447,7,0.87782
