md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0094403,9.9996e-05,1.2273,0.013857,7.7675,0.010257,0.025069,6.9548e-05,-2.2358,0.00618
2,0.0092633,9.7999e-05,1.2073,0.013617,7.7783,0.010174,0.025212,6.9188e-05,-2.249,0.0061487
3,0.0091979,9.7326e-05,1.21,0.01362,7.7961,0.01023,0.025288,6.9603e-05,-2.2551,0.0061802
4,0.0094408,9.9516e-05,1.2234,0.013738,7.7875,0.010141,0.025113,6.8896e-05,-2.2394,0.006119
5,0.0096593,0.00010146,1.2826,0.014346,7.7938,0.010155,0.025018,6.877e-05,-2.2308,0.0061177
6,0.0097912,0.00010322,1.2874,0.014555,7.7848,0.010275,0.024899,6.9433e-05,-2.2213,0.0061731
7,0.0099385,0.00010429,1.3092,0.014875,7.7765,0.010182,0.024878,6.8539e-05,-2.2202,0.0060419
8,0.009585,0.00010159,1.2543,0.014147,7.7764,0.010282,0.024987,6.9434e-05,-2.2299,0.0061098
