avg,avg_err,chi2,dof,rchi2
rates,0.011672,6.285e-05,58.951,7,8.4215
yields,1.4405,0.0082555,62.823,7,8.9748
theta,7.2945,0.0038633,9.919,7,1.417
q2,0.021873,2.5226e-05,33.333,7,4.7618
asym,1.8585,0.0012423,58.152,7,8.3074
