avg,avg_err,chi2,dof,rchi2
rates,0.00021154,1.0576e-06,84.719,7,12.103
yields,0.022847,0.00011942,141.94,7,20.277
theta,7.7687,0.0045128,11.204,7,1.6006
q2,0.024643,3.0536e-05,39.4,7,5.6285
asym,2.4669,0.0028755,62.137,7,8.8767
