md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00021603,3.1016e-06,0.026717,0.00040327,7.3413,0.0092015,0.022106,5.7757e-05,2.1768,0.0056184
2,0.00021662,3.0957e-06,0.027006,0.00040556,7.3274,0.0090377,0.022102,5.6979e-05,2.1752,0.0056465
3,0.00021835,3.0857e-06,0.026563,0.00039451,7.3376,0.0089941,0.022159,5.5936e-05,2.1801,0.0055335
4,0.00023201,3.5785e-06,0.028015,0.00042831,7.3133,0.010285,0.021783,6.4834e-05,2.1584,0.0055679
5,0.00023907,3.4344e-06,0.029448,0.00044836,7.3114,0.0093227,0.021756,5.7324e-05,2.1466,0.0054496
6,0.00023762,3.3998e-06,0.029734,0.00044765,7.3224,0.0092561,0.021749,5.7365e-05,2.1422,0.0056142
7,0.00023911,3.4407e-06,0.029658,0.00044847,7.3165,0.0093504,0.02175,5.7835e-05,2.1395,0.0057343
8,0.00022557,3.2054e-06,0.027945,0.00041877,7.3325,0.0090172,0.021961,5.6354e-05,2.1625,0.0055437
