md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.020236,0.00038316,2.0961,0.045891,7.5231,0.015334,0.023266,0.00010416,1.8986,0.0045598
2,0.021402,0.00038083,2.2264,0.042971,7.5431,0.014298,0.023485,9.7369e-05,1.902,0.0045396
3,0.019505,0.00036419,2.0476,0.043364,7.5649,0.015302,0.023589,0.00010429,1.914,0.0045603
4,0.017946,0.00035743,1.817,0.040022,7.5621,0.016549,0.023429,0.0001124,1.9009,0.0050784
5,0.021065,0.00039013,2.1931,0.046941,7.5271,0.014627,0.0231,9.8716e-05,1.8848,0.004579
6,0.023492,0.00042282,2.4815,0.048256,7.5275,0.01418,0.023035,9.5141e-05,1.8815,0.0042938
7,0.021784,0.0003975,2.2667,0.048565,7.5371,0.014388,0.0231,9.7545e-05,1.8817,0.0045424
8,0.021591,0.00037841,2.2174,0.042939,7.5534,0.01353,0.023299,9.26e-05,1.8952,0.0042918
