md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0078506,8.5287e-05,0.90387,0.010711,7.9184,0.010187,0.02596,7.0096e-05,-2.3105,0.0062153
2,0.0083529,8.8561e-05,0.96889,0.01104,7.8927,0.0099881,0.025883,6.8675e-05,-2.3057,0.0060972
3,0.007715,8.4303e-05,0.88715,0.010538,7.928,0.010414,0.026075,7.1866e-05,-2.3221,0.0063832
4,0.0074657,8.2865e-05,0.83692,0.010208,7.9434,0.01047,0.026035,7.2221e-05,-2.32,0.0063671
5,0.008246,8.9523e-05,0.943,0.011163,7.8973,0.010232,0.025611,6.9958e-05,-2.2813,0.0062105
6,0.0085744,9.2013e-05,0.99065,0.011521,7.8838,0.010061,0.025452,6.8676e-05,-2.2673,0.0060922
7,0.0083702,9.0654e-05,0.96001,0.011282,7.8923,0.010217,0.025541,6.9703e-05,-2.2755,0.0061933
8,0.0083173,8.9938e-05,0.95669,0.011268,7.8802,0.010183,0.025575,6.9807e-05,-2.2803,0.0061792
