avg,avg_err,chi2,dof,rchi2
rates,0.0013472,5.7659e-06,30.376,7,4.3394
yields,0.17294,0.00078529,27.217,7,3.8882
theta,7.5505,0.0035712,2.9269,7,0.41812
q2,0.023501,2.3588e-05,40.036,7,5.7194
asym,1.9865,0.0019985,39.182,7,5.5975
