avg,avg_err,chi2,dof,rchi2
rates,0.00022382,1.1418e-06,46.897,7,6.6996
yields,0.028535,0.00015421,37.667,7,5.381
theta,7.319,0.0032754,7.4722,7,1.0675
q2,0.02193,2.0379e-05,49.556,7,7.0794
asym,2.1597,0.0019965,43.784,7,6.2549
