md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00028356,4.2615e-06,0.033804,0.000528,7.5716,0.013988,0.0237,9.0271e-05,2.3895,0.0069941
2,0.00027506,3.4501e-06,0.033088,0.00043556,7.6132,0.011221,0.023971,7.5165e-05,2.4019,0.0073391
3,0.00026889,3.3691e-06,0.03184,0.00041278,7.6272,0.011087,0.024003,7.4738e-05,2.4055,0.0073212
4,0.00027073,3.3677e-06,0.031529,0.00041231,7.6309,0.010936,0.023946,7.2869e-05,2.3952,0.0072641
5,0.00029299,3.6151e-06,0.034747,0.00045171,7.5889,0.01077,0.023546,7.1477e-05,2.3562,0.0071232
6,0.00029924,3.6371e-06,0.03623,0.00046482,7.6033,0.010596,0.023561,7.0313e-05,2.3556,0.0070403
7,0.00029519,3.7144e-06,0.035366,0.0004646,7.5797,0.011064,0.023455,7.3802e-05,2.3491,0.007236
8,0.00029299,3.5904e-06,0.035385,0.0004595,7.5858,0.010715,0.023614,7.1236e-05,2.3634,0.0070979
