avg,avg_err,chi2,dof,rchi2
rates,0.001687,8.5209e-06,47.473,7,6.7819
yields,0.20958,0.0011174,54.616,7,7.8023
theta,7.3303,0.0034135,2.9294,7,0.41849
q2,0.022068,2.1945e-05,44.14,7,6.3057
asym,1.9236,0.0012657,57.821,7,8.2601
