avg,avg_err,chi2,dof,rchi2
rates,0.00029743,1.3336e-06,42.759,7,6.1085
yields,0.038294,0.00018123,47.89,7,6.8414
theta,7.5586,0.0039948,4.1735,7,0.59622
q2,0.023521,2.6467e-05,32.324,7,4.6177
asym,2.3587,0.0025424,41.485,7,5.9264
