md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0026175,2.2381e-05,0.34694,0.0031981,8.2598,0.010547,0.028337,7.4301e-05,2.526,0.0066033
2,0.0026515,2.2453e-05,0.34972,0.0032025,8.2584,0.010416,0.02841,7.3509e-05,2.5326,0.0065397
3,0.0026029,2.2162e-05,0.34394,0.0031494,8.2734,0.01041,0.028458,7.3691e-05,2.5382,0.006552
4,0.0026331,2.2559e-05,0.34698,0.0032133,8.2536,0.010567,0.028207,7.4345e-05,2.5157,0.0066003
5,0.0027092,2.3049e-05,0.35952,0.0033035,8.2457,0.010458,0.028014,7.3358e-05,2.499,0.0065104
6,0.0026936,2.305e-05,0.35478,0.0032719,8.2523,0.010571,0.027979,7.4092e-05,2.4958,0.0065662
7,0.0026956,2.3045e-05,0.35724,0.0032916,8.2465,0.010521,0.027958,7.3716e-05,2.4925,0.0065489
8,0.0026748,2.2847e-05,0.35287,0.0032468,8.2409,0.010477,0.028056,7.3584e-05,2.5024,0.0065342
