avg,avg_err,chi2,dof,rchi2
rates,0.20353,0.0024229,2.3181,7,0.33116
yields,26.324,0.34625,5.2544,7,0.75063
theta,8.5405,0.015819,7.9582,7,1.1369
q2,0.029371,0.00010808,9.6907,7,1.3844
asym,0.0076248,0.0011451,8.5924,7,1.2275
