avg,avg_err,chi2,dof,rchi2
rates,0.0013083,5.6877e-06,43.456,7,6.208
yields,0.16991,0.00078643,42.031,7,6.0045
theta,7.5515,0.0036493,12.093,7,1.7276
q2,0.023532,2.4114e-05,35.504,7,5.0719
asym,1.9866,0.0020455,34.854,7,4.9792
