avg,avg_err,chi2,dof,rchi2
rates,0.2069,0.0024566,12.568,7,1.7955
yields,25.904,0.33194,12.149,7,1.7355
theta,8.5529,0.015777,11.214,7,1.6021
q2,0.029393,0.00010779,18.957,7,2.7082
asym,0.011105,0.001155,6.945,7,0.99215
