avg,avg_err,chi2,dof,rchi2
rates,0.0042373,3.5821e-05,13.174,7,1.882
yields,0.11585,0.0014866,8.5087,7,1.2155
theta,9.41,0.012746,9.181,7,1.3116
q2,0.029228,8.0374e-05,10.477,7,1.4968
asym,-0.36285,0.0012022,6.8398,7,0.97711
