avg,avg_err,chi2,dof,rchi2
rates,0.0028418,7.5977e-06,12.586,7,1.798
yields,0.38269,0.0011211,7.8624,7,1.1232
theta,8.6056,0.0034824,1.8394,7,0.26277
q2,0.030619,2.4941e-05,40.2,7,5.7429
asym,2.7305,0.0022142,39.927,7,5.7039
